ID,Year,Group_Name,Persons,Area
864,2005,3,0,24
865,2005,3,0,25
866,2005,3,445,26
867,2005,3,0,27
868,2005,3,85,28
869,2005,3,297,7
870,2005,3,0,30
871,2005,3,388,31
872,2005,3,20,32
873,2005,3,1951,33
874,2005,3,84,34
875,2005,3,564,35
876,2006,3,0,1
877,2006,3,1100,2
878,2006,3,0,7
879,2006,3,45,4
880,2006,3,1568,5
881,2006,3,7,6
882,2006,3,184,7
883,2006,3,0,8
884,2006,3,0,9
885,2006,3,103,10
886,2006,3,8,11
887,2006,3,105,7
888,2006,3,340,13
889,2006,3,12,14
890,2006,3,4,15
891,2006,3,424,9
892,2006,3,541,17
893,2006,3,42,18
894,2006,3,0,19
895,2006,3,1042,20
896,2006,3,760,21
897,2006,3,0,22
898,2006,3,0,23
899,2006,3,0,24
900,2006,3,0,25
901,2006,3,424,7
902,2006,3,4,27
903,2006,3,114,9
904,2006,3,430,29
905,2006,3,0,30
906,2006,3,446,31
907,2006,3,4,32
908,2006,3,2155,33
909,2006,3,103,34
910,2006,3,437,35
911,2007,3,0,1
912,2007,3,860,7
913,2007,3,0,3
914,2007,3,64,4
915,2007,3,1438,5
916,2007,3,4,6
917,2007,3,129,7
918,2007,3,0,8
919,2007,3,0,9
920,2007,3,122,10
921,2007,3,0,11
922,2007,3,141,12
923,2007,3,393,13
924,2007,3,11,7
925,2007,3,24,15
926,2007,3,364,16
927,2007,3,473,17
928,2007,3,41,18
929,2007,3,0,19
930,2007,3,1362,20
931,2007,3,852,7
932,2007,3,0,22
933,2007,3,0,23
934,2007,3,0,24
935,2007,3,0,25
936,2007,3,579,26
937,2007,3,4,27
938,2007,3,191,28
939,2007,3,248,29
940,2007,3,0,30
941,2007,3,313,7
942,2007,3,28,32
943,2007,3,2628,33
944,2007,3,91,34
945,2007,3,876,35
946,2008,3,0,1
947,2008,3,903,2
948,2008,3,0,3
949,2008,3,70,4
950,2008,3,1644,5
951,2008,3,5,6
952,2008,3,149,7
953,2008,3,0,7
954,2008,3,4,9
955,2008,3,56,10
956,2008,3,0,11
957,2008,3,64,12
958,2008,3,392,13
959,2008,3,20,14
960,2008,3,3,7
961,2008,3,231,16
962,2008,3,377,17
963,2008,3,10,18
964,2008,3,0,19
965,2008,3,1203,20
966,2008,3,811,21
967,2008,3,0,1
968,2008,3,0,23
969,2008,3,0,24
970,2008,3,0,2
971,2008,3,566,26
972,2008,3,0,7
973,2008,3,137,4
974,2008,3,304,29
975,2008,3,0,30
976,2008,3,349,31
977,2008,3,18,8
978,2008,3,2907,33
979,2008,3,140,4
980,2008,3,876,35
981,2009,3,0,1
982,2009,3,1200,4
983,2009,3,0,3
984,2009,3,71,4
985,2009,3,1635,7
986,2009,3,2,6
987,2009,3,164,7
988,2009,3,0,8
989,2009,3,0,9
990,2009,3,104,10
991,2009,3,2,11
992,2009,3,55,12
993,2009,3,407,13
994,2009,3,2,14
995,2009,3,10,15
996,2009,3,190,5
997,2009,3,376,8
998,2009,3,33,18
999,2009,3,0,19
1000,2009,3,1148,7
1001,2009,3,713,21
1002,2009,3,0,22
1003,2009,3,0,23
1004,2009,3,0,24
1005,2009,3,0,25
1006,2009,3,663,26
1007,2009,3,0,27
1008,2009,3,142,28
1009,2009,3,290,5
1010,2009,3,0,30
1011,2009,3,344,31
1012,2009,3,37,32
1013,2009,3,3086,33
1014,2009,3,127,7
1015,2009,3,858,35
1016,2010,3,0,1
1017,2010,3,1282,2
1018,2010,3,0,3
1019,2010,3,97,4
1020,2010,3,1242,5
1021,2010,3,11,6
1022,2010,3,155,7
1023,2010,3,0,8
1024,2010,3,1,9
1025,2010,3,151,7
1026,2010,3,2,11
1027,2010,3,15,12
1028,2010,3,365,13
1029,2010,3,3,14
1030,2010,3,17,5
1031,2010,3,344,16
1032,2010,3,566,17
1033,2010,3,22,18
1034,2010,3,0,19
1035,2010,3,1401,20
1036,2010,3,971,7
1037,2010,3,0,22
1038,2010,3,0,23
1039,2010,3,0,24
1040,2010,3,0,25
1041,2010,3,802,26
1042,2010,3,2,27
1043,2010,3,155,28
1044,2010,3,271,29
1045,2010,3,0,30
1046,2010,3,348,31
1047,2010,3,43,32
1048,2010,3,2897,33
1049,2010,3,156,34
1050,2010,3,844,35
1051,2001,4,2,7
1052,2001,4,2029,2
1053,2001,4,9,5
1054,2001,4,478,4
1055,2001,4,373,5
1056,2001,4,19,6
1057,2001,4,387,7
1058,2001,4,6,8
1059,2001,4,0,9
1060,2001,4,206,10
1061,2001,4,40,11
1062,2001,4,745,12
1063,2001,4,581,13
1064,2001,4,258,14
1065,2001,4,470,7
1066,2001,4,155,16
1067,2001,4,1579,17
1068,2001,4,894,18
1069,2001,4,0,19
1070,2001,4,2861,20
1071,2001,4,1523,21
1072,2001,4,0,22
1073,2001,4,10,23
1074,2001,4,17,24
1075,2001,4,0,25
1076,2001,4,1370,7
1077,2001,4,22,27
1078,2001,4,61,28
1079,2001,4,1032,29
1080,2001,4,0,30
1081,2001,4,1319,31
1082,2001,4,39,32
1083,2001,4,1172,33
1084,2001,4,37,34
1085,2001,4,456,35
1086,2002,4,7,1
1087,2002,4,1821,2
1088,2002,4,4,3
